#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Speed (ns/day)"
450000,-2685041.1999655254,606373.3312703844,-2078667.868695141,300.8841229652443,2248.4953501659406,17.3
455000,-2686804.2911204677,603450.6637263352,-2083353.6273941325,299.43388725176413,2247.1729468040776,17.3
460000,-2688308.6731682066,604198.2317264603,-2084110.4414417464,299.80483255967084,2242.833579242866,17.3
465000,-2687378.0651734862,605357.6900985031,-2082020.375074983,300.3801590085698,2243.78359622774,17.3
470000,-2686824.767035162,603882.0313810946,-2082942.7356540675,299.6479330743367,2243.8600270161523,17.2
475000,-2686570.223180605,602954.4169858191,-2083615.806194786,299.18764824751617,2247.117646233869,17.2
480000,-2686757.205673253,606101.5475989749,-2080655.6580742784,300.7492631562929,2246.4061702748527,17.2
485000,-2683711.9992630538,604852.1467809672,-2078859.8524820865,300.1293070171093,2246.7978791467863,17.2
490000,-2687686.3168902546,603818.6599368481,-2083867.6569534065,299.61648798854577,2246.213089111913,17.2
495000,-2686383.9198307227,603339.4487639706,-2083044.471066752,299.3787020800456,2246.736570588135,17.2
500000,-2687353.1175794117,606289.4088609857,-2081063.708718426,300.84248043374276,2248.5229274749604,17.2
505000,-2684619.056215329,605477.4314539453,-2079141.6247613837,300.4395750001,2246.9950344317303,17.2
510000,-2688283.6602985244,604057.993404076,-2084225.6668944485,299.73524591649124,2245.1545710424334,17.2
515000,-2687492.7671328187,604715.3807735645,-2082777.3863592544,300.06144334622087,2245.6680737715833,17.2
520000,-2687060.9066353627,603409.921992624,-2083650.9846427387,299.4136710908883,2245.3806488306977,17.2
525000,-2686510.2410890553,604927.816332041,-2081582.4247570143,300.1668544574994,2245.7492988190893,17.2
530000,-2688103.9178347606,603123.7266220496,-2084980.191212711,299.27166015697804,2245.499028710753,17.2
535000,-2686848.699391719,606036.2331459869,-2080812.466245732,300.716853944194,2243.76347794464,17.2
540000,-2687759.614598943,605080.9323371637,-2082678.6822617792,300.2428310424471,2245.0386388340576,17.2
545000,-2685979.6191010587,604683.7020580046,-2081295.917043054,300.0457242800015,2243.752289591445,17.2
550000,-2685454.6794300284,605889.1373242446,-2079565.5421057837,300.64386459087916,2244.3389124863834,17.2
555000,-2685286.0756496005,604013.9729993263,-2081272.102650274,299.71340286998407,2244.6254996568623,17.2
560000,-2685649.5360918827,606524.0881288178,-2079125.447963065,300.9589289350842,2243.6233198692707,17.2
565000,-2685531.2508524917,604719.4983836843,-2080811.7524688074,300.0634865157432,2244.5572329941674,17.2
570000,-2687003.263627978,603212.7469700326,-2083790.5166579455,299.31583229969544,2245.112422829559,17.2
575000,-2685499.2459091544,603634.0046860382,-2081865.2412231162,299.52486154271503,2243.1122149788475,17.2
580000,-2685093.53604958,604584.0191333833,-2080509.5169161968,299.99626133728526,2245.0616488813894,17.2
585000,-2686777.5282711796,602684.2254421317,-2084093.302829048,299.0535784567411,2244.133804507593,17.2
590000,-2683695.6913626473,605419.8961463856,-2078275.7952162619,300.41102582146385,2243.623444811758,17.2
595000,-2683571.9701812454,604759.9057208549,-2078812.0644603905,300.0835367481314,2245.39898523649,17.2
600000,-2682524.7742615193,604874.7374633435,-2077650.036798176,300.140516576144,2246.55129662974,17.2
605000,-2685610.398764994,605080.2418191573,-2080530.1569458367,300.2424884055037,2248.750724952409,17.2
610000,-2684625.001923682,605939.4079139074,-2078685.5940097747,300.6688089964156,2250.551929438521,17.2
615000,-2683974.1771541256,605357.135191687,-2078617.0419624387,300.3798836622739,2249.8065333090594,17.2
620000,-2683537.184869958,608222.7707128007,-2075314.4141571573,301.80181992833946,2249.468816841216,17.2
625000,-2686324.9613853004,605530.4263333182,-2080794.5350519822,300.4658712057203,2248.917450453964,17.2
630000,-2684986.593924865,606448.9435500951,-2078537.6503747702,300.9216419874257,2250.504012051699,17.2
