#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Speed (ns/day)"
320000,-2698525.3399250954,605964.1063256874,-2092561.233599408,301.0213481769815,2233.49901895744,16.4
325000,-2700485.1583310254,602506.9460724728,-2097978.2122585527,299.30395430922135,2233.7812762778676,16.4
330000,-2701868.4679116197,606214.3310805279,-2095654.1368310917,301.1456509075608,2230.264023709807,16.4
335000,-2703674.565263953,602955.2375305612,-2100719.327733392,299.52664951126593,2230.356307412951,16.4
340000,-2701722.4370456506,602907.0719391876,-2098815.365106463,299.5027225639441,2232.0638893229684,16.4
345000,-2700340.031978622,605780.2508769,-2094559.781101722,300.93001534969704,2233.858643309047,16.4
350000,-2699293.127746083,605267.1139880104,-2094026.0137580724,300.67510725121326,2234.142969231927,16.4
355000,-2703271.107197782,604441.5775137824,-2098829.5296839997,300.2650101846589,2228.882905782617,16.4
360000,-2698645.6618856974,604493.7310791548,-2094151.9308065427,300.2909182151788,2230.1877384673135,16.4
365000,-2705018.3765477818,605085.7000521006,-2099932.676495681,300.58498728041695,2232.7110508797,16.4
370000,-2701791.373420134,605614.221975799,-2096177.1514443352,300.84753811527986,2230.078663195146,16.4
375000,-2700631.7210041136,602875.9981586854,-2097755.722845428,299.48728621845413,2235.7806595283196,16.4
380000,-2702017.0010238066,601048.6776416269,-2100968.3233821797,298.5795385814996,2226.6234883287852,16.4
385000,-2701025.2999007963,604801.6863184816,-2096223.6135823147,300.44389939071806,2229.693461529762,16.4
390000,-2699228.1287581697,605880.3734215603,-2093347.7553366094,300.9797526576694,2234.0690903032073,16.4
395000,-2702341.1890738774,604085.6052594198,-2098255.5838144575,300.08817586922135,2228.643026065109,16.4
400000,-2701138.9110927153,604185.7243139322,-2096953.186778783,300.13791144341286,2231.8685742087446,16.4
405000,-2700030.179811161,603323.0701649629,-2096707.109646198,299.7093756403472,2233.9517577772285,16.4
410000,-2700420.6883761194,602311.1543074383,-2098109.5340686813,299.20669194589425,2234.7002059689275,16.4
415000,-2697865.809501147,601792.9431320339,-2096072.8663691129,298.9492631229125,2234.0937045699034,16.4
420000,-2702952.160805151,605501.2050992413,-2097450.9557059095,300.7913953632704,2234.0917574636737,16.4
425000,-2701841.6213188656,603045.5181258525,-2098796.103193013,299.5714976899371,2232.662278376542,16.4
430000,-2700383.108839523,604545.8174679498,-2095837.2913715732,300.31679287477175,2233.640096084346,16.4
435000,-2699386.708674906,604023.5645911511,-2095363.1440837546,300.05735627873884,2233.536419086865,16.4
440000,-2701093.202449525,603841.3614104891,-2097251.8410390355,299.96684423930867,2235.0084809686596,16.4
445000,-2696815.8438544385,605636.8854803889,-2091178.9583740495,300.858796535762,2233.6795968994593,16.4
450000,-2701844.1052503083,605149.3931408778,-2096694.7121094305,300.6166277344524,2229.709154653812,16.4
455000,-2701028.723245073,604338.2648420125,-2096690.4584030607,300.2136881353572,2232.262883948183,16.4
460000,-2701188.714905858,605199.9442657265,-2095988.7706401316,300.6417397296926,2235.8751272275576,16.4
465000,-2700828.147334963,601873.8210741159,-2098954.326260847,298.9894403989411,2230.8334360926224,16.4
470000,-2702308.756528221,604886.3028796612,-2097422.4536485597,300.48593387932635,2231.0871582151376,16.4
475000,-2702186.1866111234,604884.0784500316,-2097302.108161092,300.4848288620505,2232.09605907308,16.4
480000,-2700136.510487942,602519.7904663921,-2097616.72002155,299.3103349458526,2236.3537975793574,16.4
485000,-2700092.244265873,602886.0909366799,-2097206.153329193,299.4922999504673,2234.996242902622,16.4
490000,-2701067.447100254,605049.6502471942,-2096017.7968530594,300.5670790235398,2231.452119048344,16.4
495000,-2700889.221151352,604346.3936689657,-2096542.8274823863,300.21772624656376,2233.727795648712,16.4
500000,-2701349.36083062,600564.5109247229,-2100784.849905897,298.33902183084814,2233.956043156924,16.4
