#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Speed (ns/day)"
415000,-2678759.9977930877,603205.398941973,-2075554.5988511147,299.65092077508984,2242.6136420997036,16.2
420000,-2678973.0322634354,603810.302569145,-2075162.7296942906,299.95141531505953,2242.8606371230053,16.2
425000,-2679854.923273163,604249.1029150246,-2075605.8203581383,300.1693956711868,2241.4068614414973,16.2
430000,-2676936.513245119,604137.7714445873,-2072798.7418005315,300.1140901688052,2241.6943499098566,16.2
435000,-2680302.014984673,607654.6792224329,-2072647.33576224,301.86116447510443,2243.0085199924883,16.2
440000,-2679034.420968646,603991.4357348434,-2075042.9852338028,300.0413958092322,2243.9908657103047,16.2
445000,-2678363.663956031,602920.5788045162,-2075443.085151515,299.50943229273565,2241.4688332665837,16.2
450000,-2677929.6411072183,604003.890520065,-2073925.7505871532,300.0475829021632,2241.821566823233,16.2
455000,-2678564.270437341,603542.9466169053,-2075021.323820436,299.8186024168265,2243.635644767302,16.2
460000,-2680214.31152658,603923.0045379023,-2076291.3069886775,300.0074016321093,2243.150265804006,16.2
465000,-2674819.3041520678,602743.0185967375,-2072076.28555533,299.4212267165799,2242.6034537728265,16.2
470000,-2677914.4140821956,603525.6232662012,-2074388.7908159944,299.80999679426657,2242.258305560684,16.2
475000,-2678569.721397033,603971.2791973372,-2074598.4421996959,300.0313827605527,2241.8676423658585,16.2
480000,-2678371.302384807,605079.3201282022,-2073291.9822566046,300.5818179618499,2243.230276330045,16.2
485000,-2678127.6919350326,604490.5167273547,-2073637.1752076778,300.2893214398875,2243.964216444871,16.2
490000,-2676430.9325759374,602859.4298089036,-2073571.5027670339,299.4790556534152,2243.0504785762046,16.2
495000,-2681198.1815203205,604525.7409458766,-2076672.440574444,300.3068195749045,2243.421388857999,16.2
500000,-2676112.6122011915,603203.7127135728,-2072908.8994876188,299.65008311698267,2241.763455359346,16.2
